,from_dataset,from_action_idx,from_action_name,to_dataset,to_action_idx,to_action_name,relation
83,hmdb51,5,climb,activitynet,143,Rock_climbing,is-a
84,hmdb51,7,dive,activitynet,102,Plataform_diving,is-a
85,hmdb51,7,dive,activitynet,149,Scuba_diving,is-a
86,hmdb51,7,dive,activitynet,166,Springboard_diving,is-a
87,hmdb51,10,drink,activitynet,51,Drinking_beer,is-a
88,hmdb51,10,drink,activitynet,52,Drinking_coffee,is-a
89,hmdb51,11,eat,activitynet,69,Having_an_ice_cream,is-a
90,hmdb51,12,fall_floor,activitynet,82,Kneeling,similar
91,hmdb51,13,fencing,activitynet,45,Doing_fencing,equal
92,hmdb51,14,flic_flac,activitynet,180,Tumbling,similar
93,hmdb51,17,hit,activitynet,71,Hitting_a_pinata,is-a
94,hmdb51,17,hit,activitynet,100,Ping-pong,is-a
95,hmdb51,17,hit,activitynet,104,Playing_badminton,is-a
96,hmdb51,17,hit,activitynet,106,Playing_beach_volleyball,is-a
97,hmdb51,17,hit,activitynet,108,Playing_congas,is-a
98,hmdb51,17,hit,activitynet,109,Playing_drums,is-a
99,hmdb51,17,hit,activitynet,110,Playing_field_hockey,is-a
100,hmdb51,17,hit,activitynet,114,Playing_ice_hockey,is-a
101,hmdb51,17,hit,activitynet,120,Playing_racquetball,is-a
102,hmdb51,17,hit,activitynet,123,Playing_squash,is-a
103,activitynet,175,Tennis_serve_with_ball_bouncing,hmdb51,17,hit,is-a
104,activitynet,188,Volleyball,hmdb51,17,hit,is-a
105,hmdb51,19,jump,activitynet,20,Bungee_jumping,is-a
106,hmdb51,19,jump,activitynet,70,High_jump,is-a
107,hmdb51,19,jump,activitynet,72,Hopscotch,is-a
108,hmdb51,19,jump,activitynet,86,Long_jump,is-a
109,hmdb51,19,jump,activitynet,127,Pole_vault,is-a
110,hmdb51,19,jump,activitynet,130,Powerbocking,is-a
111,hmdb51,19,jump,activitynet,146,Rope_skipping,is-a
112,hmdb51,19,jump,activitynet,178,Triple_jump,is-a
113,hmdb51,20,kick,activitynet,9,Beach_soccer,is-a
114,hmdb51,20,kick,activitynet,47,Doing_kickboxing,is-a
115,hmdb51,21,kick_ball,activitynet,9,Beach_soccer,similar
116,hmdb51,21,kick_ball,activitynet,58,Futsal,similar
117,hmdb51,21,kick_ball,activitynet,115,Playing_kickball,equal
118,activitynet,89,Making_a_lemonade,hmdb51,25,pour,is-a
119,hmdb51,27,punch,activitynet,47,Doing_kickboxing,is-a
120,activitynet,71,Hitting_a_pinata,hmdb51,27,punch,is-a
121,activitynet,168,Sumo,hmdb51,28,push,is-a
122,hmdb51,30,ride_bike,activitynet,4,BMX,is-a
123,hmdb51,30,ride_bike,activitynet,48,Doing_motocross,is-a
124,hmdb51,31,ride_horse,activitynet,21,Calf_roping,is-a
125,hmdb51,31,ride_horse,activitynet,22,Camel_ride,similar
126,hmdb51,31,ride_horse,activitynet,73,Horseback_riding,equal
127,hmdb51,32,run,activitynet,54,Elliptical_trainer,is-a
128,hmdb51,32,run,activitynet,86,Long_jump,is-a
129,hmdb51,32,run,activitynet,147,Running_a_marathon,is-a
130,hmdb51,33,shake_hands,activitynet,2,Arm_wrestling,similar
131,hmdb51,34,shoot_ball,activitynet,9,Beach_soccer,is-a
132,hmdb51,34,shoot_ball,activitynet,34,Cricket,is-a
133,hmdb51,34,shoot_ball,activitynet,35,Croquet,is-a
134,hmdb51,34,shoot_ball,activitynet,58,Futsal,is-a
135,hmdb51,34,shoot_ball,activitynet,75,Hurling,is-a
136,hmdb51,34,shoot_ball,activitynet,85,Layup_drill_in_basketball,is-a
137,hmdb51,34,shoot_ball,activitynet,110,Playing_field_hockey,is-a
138,hmdb51,34,shoot_ball,activitynet,114,Playing_ice_hockey,is-a
139,hmdb51,34,shoot_ball,activitynet,115,Playing_kickball,is-a
140,hmdb51,34,shoot_ball,activitynet,116,Playing_lacrosse,is-a
141,hmdb51,35,shoot_bow,activitynet,1,Archery,equal
142,hmdb51,36,shoot_gun,activitynet,95,Paintball,is-a
143,hmdb51,37,sit,activitynet,82,Kneeling,similar
144,hmdb51,38,situp,activitynet,44,Doing_crunches,equal
145,hmdb51,40,smoke,activitynet,159,Smoking_a_cigarette,is-a
146,hmdb51,40,smoke,activitynet,160,Smoking_hookah,is-a
147,activitynet,180,Tumbling,hmdb51,41,somersault,is-a
148,hmdb51,43,swing_baseball,activitynet,75,Hurling,similar
149,activitynet,45,Doing_fencing,hmdb51,44,sword,is-a
150,hmdb51,45,sword_exercise,activitynet,45,Doing_fencing,is-a
151,hmdb51,47,throw,activitynet,10,Beer_pong,is-a
152,hmdb51,47,throw,activitynet,40,Disc_dog,is-a
153,hmdb51,47,throw,activitynet,41,Discus_throw,is-a
154,hmdb51,47,throw,activitynet,43,Doing_a_powerbomb,is-a
155,hmdb51,47,throw,activitynet,65,Hammer_throw,is-a
156,hmdb51,47,throw,activitynet,79,Javelin_throw,is-a
157,hmdb51,47,throw,activitynet,85,Layup_drill_in_basketball,is-a
158,hmdb51,47,throw,activitynet,116,Playing_lacrosse,is-a
159,hmdb51,47,throw,activitynet,124,Playing_ten_pins,is-a
160,hmdb51,47,throw,activitynet,126,Playing_water_polo,is-a
161,hmdb51,47,throw,activitynet,153,Shot_put,is-a
162,hmdb51,47,throw,activitynet,176,Throwing_darts,is-a
163,hmdb51,48,turn,activitynet,164,Spinning,similar
164,hmdb51,48,turn,activitynet,178,Triple_jump,is-a
165,hmdb51,48,turn,activitynet,180,Tumbling,is-a
166,hmdb51,49,walk,activitynet,54,Elliptical_trainer,is-a
167,hmdb51,49,walk,activitynet,158,Slacklining,is-a
168,hmdb51,49,walk,activitynet,182,Using_the_balance_beam,is-a
169,hmdb51,49,walk,activitynet,190,Walking_the_dog,is-a
170,stair_actions,10,setting_hair,hmdb51,0,brush_hair,is-a
171,hmdb51,0,brush_hair,stair_actions,15,brushing_teeth,similar
172,hmdb51,3,chew,stair_actions,1,eating_meal,similar
173,hmdb51,3,chew,stair_actions,2,eating_snack,similar
174,hmdb51,4,clap,stair_actions,89,clapping_hands,equal
175,hmdb51,6,climb_stairs,stair_actions,82,going_up_or_down_stairs,equal
176,hmdb51,10,drink,stair_actions,0,drinking,equal
177,hmdb51,11,eat,stair_actions,1,eating_meal,is-a
178,hmdb51,11,eat,stair_actions,2,eating_snack,is-a
179,hmdb51,18,hug,stair_actions,59,holding_someone,similar
180,hmdb51,18,hug,stair_actions,72,hugging,equal
181,hmdb51,19,jump,stair_actions,83,jumping_on_sofa_or_bed,is-a
182,stair_actions,86,exercising,hmdb51,19,jump,is-a
183,stair_actions,86,exercising,hmdb51,20,kick,is-a
184,hmdb51,22,kiss,stair_actions,70,kissing,equal
185,hmdb51,23,laugh,stair_actions,99,smiling,equal
186,hmdb51,25,pour,stair_actions,7,pouring_tea_or_coffee,is-a
187,stair_actions,86,exercising,hmdb51,29,pushup,is-a
188,stair_actions,86,exercising,hmdb51,30,ride_bike,is-a
189,stair_actions,86,exercising,hmdb51,32,run,is-a
190,hmdb51,32,run,stair_actions,88,running_around,is-a
191,hmdb51,33,shake_hands,stair_actions,74,shaking_hands,equal
192,hmdb51,37,sit,stair_actions,90,sitting_down,is-a
193,stair_actions,86,exercising,hmdb51,38,situp,is-a
194,hmdb51,39,smile,stair_actions,99,smiling,equal
195,hmdb51,40,smoke,stair_actions,37,smoking,equal
196,hmdb51,42,stand,stair_actions,91,standing_up,is-a
197,hmdb51,46,talk,stair_actions,66,speaking,equal
198,hmdb51,47,throw,stair_actions,4,throwing_trash,is-a
199,hmdb51,47,throw,stair_actions,35,throwing,equal
200,hmdb51,49,walk,stair_actions,80,walking_with_stick,is-a
201,hmdb51,49,walk,stair_actions,81,walking,equal
202,stair_actions,86,exercising,hmdb51,49,walk,is-a
203,hmdb51,19,jump,kinetics700,242,high_jump,is-a
204,hmdb51,19,jump,kinetics700,255,hurdling,is-a
205,hmdb51,19,jump,kinetics700,300,long_jump,is-a
206,kinetics700,353,parkour,hmdb51,19,jump,similar
207,hmdb51,19,jump,kinetics700,443,pole_vault,is-a
208,hmdb51,19,jump,kinetics700,639,triple_jump,is-a
209,hmdb51,35,shoot_bow,kinetics700,9,archery,is-a
210,hmdb51,47,throw,kinetics700,87,catching_or_throwing_frisbee,is-a
211,hmdb51,47,throw,kinetics700,158,disc_golfing,is-a
212,hmdb51,47,throw,kinetics700,234,hammer_throw,is-a
213,hmdb51,47,throw,kinetics700,265,javelin_throw,is-a
214,hmdb51,47,throw,kinetics700,528,shot_put,is-a
215,hmdb51,47,throw,kinetics700,619,throwing_axe,is-a
216,hmdb51,47,throw,kinetics700,621,throwing_discus,is-a
217,hmdb51,47,throw,kinetics700,86,catching_or_throwing_baseball,is-a
218,hmdb51,47,throw,kinetics700,88,catching_or_throwing_softball,is-a
219,hmdb51,34,shoot_ball,kinetics700,176,dunking_basketball,is-a
220,hmdb51,21,kick_ball,kinetics700,278,kicking_field_goal,is-a
221,hmdb51,21,kick_ball,kinetics700,279,kicking_soccer_ball,is-a
222,kinetics700,404,playing_kickball,hmdb51,21,kick_ball,equal
223,hmdb51,34,shoot_ball,kinetics700,524,shooting_basketball,is-a
224,hmdb51,21,kick_ball,kinetics700,525,shooting_goal_(soccer),is-a
225,hmdb51,34,shoot_ball,kinetics700,525,shooting_goal_(soccer),is-a
226,hmdb51,47,throw,kinetics700,620,throwing_ball_(not_baseball_or_American_football),is-a
227,kinetics700,6,applauding,hmdb51,4,clap,equal
228,kinetics700,49,bouncing_on_bouncy_castle,hmdb51,19,jump,similar
229,kinetics700,103,clapping,hmdb51,4,clap,equal
230,hmdb51,12,fall_floor,kinetics700,197,falling_off_chair,is-a
231,hmdb51,19,jump,kinetics700,275,jumping_sofa,is-a
232,hmdb51,17,hit,kinetics700,556,smashing,is-a
233,hmdb51,46,talk,kinetics700,608,talking_on_cell_phone,is-a
234,kinetics700,285,laughing,hmdb51,23,laugh,equal
235,hmdb51,11,eat,kinetics700,156,dining,is-a
236,hmdb51,10,drink,kinetics700,169,drinking_shots,is-a
237,kinetics700,179,eating_burger,hmdb51,3,chew,similar
238,hmdb51,11,eat,kinetics700,179,eating_burger,is-a
239,kinetics700,180,eating_cake,hmdb51,3,chew,similar
240,hmdb51,11,eat,kinetics700,180,eating_cake,is-a
241,kinetics700,181,eating_carrots,hmdb51,3,chew,similar
242,hmdb51,11,eat,kinetics700,181,eating_carrots,is-a
243,kinetics700,182,eating_chips,hmdb51,3,chew,similar
244,hmdb51,11,eat,kinetics700,182,eating_chips,is-a
245,kinetics700,183,eating_doughnuts,hmdb51,3,chew,similar
246,hmdb51,11,eat,kinetics700,183,eating_doughnuts,is-a
247,kinetics700,184,eating_hotdog,hmdb51,3,chew,similar
248,hmdb51,11,eat,kinetics700,184,eating_hotdog,is-a
249,hmdb51,11,eat,kinetics700,185,eating_ice_cream,is-a
250,kinetics700,186,eating_nachos,hmdb51,3,chew,similar
251,hmdb51,11,eat,kinetics700,186,eating_nachos,is-a
252,kinetics700,187,eating_spaghetti,hmdb51,3,chew,similar
253,hmdb51,11,eat,kinetics700,187,eating_spaghetti,is-a
254,kinetics700,188,eating_watermelon,hmdb51,3,chew,similar
255,hmdb51,11,eat,kinetics700,188,eating_watermelon,is-a
256,hmdb51,25,pour,kinetics700,447,pouring_beer,is-a
257,hmdb51,25,pour,kinetics700,448,pouring_milk,is-a
258,hmdb51,25,pour,kinetics700,449,pouring_wine,is-a
259,hmdb51,25,pour,kinetics700,454,pulling_espresso_shot,is-a
260,hmdb51,10,drink,kinetics700,540,sipping_cup,is-a
261,hmdb51,11,eat,kinetics700,588,sucking_lolly,is-a
262,kinetics700,613,tasting_beer,hmdb51,10,drink,similar
263,kinetics700,614,tasting_food,hmdb51,11,eat,similar
264,kinetics700,615,tasting_wine,hmdb51,10,drink,similar
265,kinetics700,19,backflip_(human),hmdb51,41,somersault,is-a
266,kinetics700,162,doing_aerobics,hmdb51,49,walk,is-a
267,kinetics700,192,exercising_arm,hmdb51,16,handstand,is-a
268,kinetics700,192,exercising_arm,hmdb51,26,pullup,is-a
269,kinetics700,192,exercising_arm,hmdb51,27,punch,is-a
270,kinetics700,192,exercising_arm,hmdb51,45,sword_exercise,is-a
271,hmdb51,42,stand,kinetics700,236,head_stand,is-a
272,hmdb51,49,walk,kinetics700,336,mountain_climber_(exercise),is-a
273,kinetics700,453,pull_ups,hmdb51,26,pullup,equal
274,hmdb51,27,punch,kinetics700,459,punching_person_(boxing),is-a
275,hmdb51,28,push,kinetics700,460,push_up,is-a
276,kinetics700,460,push_up,hmdb51,29,pushup,equal
277,hmdb51,28,push,kinetics700,496,rope_pushdown,is-a
278,kinetics700,541,situp,hmdb51,38,situp,equal
279,kinetics700,580,standing_on_hands,hmdb51,16,handstand,equal
280,hmdb51,15,golf,kinetics700,225,golf_chipping,is-a
281,hmdb51,15,golf,kinetics700,226,golf_driving,is-a
282,hmdb51,15,golf,kinetics700,227,golf_putting,is-a
283,kinetics700,79,cartwheeling,hmdb51,1,cartwheel,equal
284,kinetics700,233,gymnastics_tumbling,hmdb51,1,cartwheel,is-a
285,kinetics700,233,gymnastics_tumbling,hmdb51,14,flic_flac,is-a
286,kinetics700,233,gymnastics_tumbling,hmdb51,16,handstand,is-a
287,kinetics700,233,gymnastics_tumbling,hmdb51,41,somersault,is-a
288,kinetics700,567,somersaulting,hmdb51,41,somersault,equal
289,kinetics700,60,brushing_hair,hmdb51,0,brush_hair,equal
290,kinetics700,116,combing_hair,hmdb51,0,brush_hair,similar
291,kinetics700,207,fixing_hair,hmdb51,0,brush_hair,is-a
292,hmdb51,24,pick,kinetics700,369,pinching,is-a
293,kinetics700,680,waving_hand,hmdb51,50,wave,equal
294,hmdb51,3,chew,kinetics700,97,chewing_gum,is-a
295,kinetics700,172,drooling,hmdb51,9,dribble,equal
296,kinetics700,558,smoking,hmdb51,40,smoke,equal
297,hmdb51,40,smoke,kinetics700,559,smoking_hookah,is-a
298,hmdb51,40,smoke,kinetics700,560,smoking_pipe,is-a
299,hmdb51,7,dive,kinetics700,24,base_jumping,is-a
300,hmdb51,7,dive,kinetics700,67,bungee_jumping,is-a
301,hmdb51,5,climb,kinetics700,111,climbing_a_rope,is-a
302,kinetics700,111,climbing_a_rope,hmdb51,6,climb_stairs,similar
303,hmdb51,5,climb,kinetics700,112,climbing_ladder,is-a
304,kinetics700,112,climbing_ladder,hmdb51,6,climb_stairs,similar
305,hmdb51,7,dive,kinetics700,159,diving_cliff,is-a
306,hmdb51,7,dive,kinetics700,175,dumpster_diving,is-a
307,hmdb51,5,climb,kinetics700,257,ice_climbing,is-a
308,hmdb51,7,dive,kinetics700,273,jumping_into_pool,is-a
309,hmdb51,5,climb,kinetics700,491,rock_climbing,is-a
310,kinetics700,491,rock_climbing,hmdb51,6,climb_stairs,similar
311,hmdb51,7,dive,kinetics700,550,skydiving,is-a
312,hmdb51,7,dive,kinetics700,574,springboard_diving,is-a
313,kinetics700,483,riding_or_walking_with_horse,hmdb51,31,ride_horse,equal
314,hmdb51,27,punch,kinetics700,458,punching_bag,is-a
315,kinetics700,602,sword_fighting,hmdb51,8,draw_sword,similar
316,kinetics700,602,sword_fighting,hmdb51,13,fencing,is-a
317,hmdb51,44,sword,kinetics700,602,sword_fighting,is-a
318,kinetics700,602,sword_fighting,hmdb51,45,sword_exercise,similar
319,hmdb51,49,walk,kinetics700,266,jaywalking,is-a
320,hmdb51,32,run,kinetics700,268,jogging,is-a
321,hmdb51,19,jump,kinetics700,272,jumping_bicycle,is-a
322,hmdb51,28,push,kinetics700,461,pushing_car,is-a
323,hmdb51,28,push,kinetics700,462,pushing_cart,is-a
324,hmdb51,28,push,kinetics700,463,pushing_wheelbarrow,is-a
325,hmdb51,28,push,kinetics700,464,pushing_wheelchair,is-a
326,kinetics700,478,riding_a_bike,hmdb51,30,ride_bike,equal
327,kinetics700,484,riding_scooter,hmdb51,30,ride_bike,similar
328,kinetics700,486,riding_unicycle,hmdb51,30,ride_bike,similar
329,hmdb51,32,run,kinetics700,497,running_on_treadmill,is-a
330,hmdb51,49,walk,kinetics700,664,wading_through_mud,is-a
331,hmdb51,49,walk,kinetics700,668,walking_on_stilts,is-a
332,hmdb51,49,walk,kinetics700,670,walking_through_snow,is-a
333,hmdb51,49,walk,kinetics700,671,walking_with_crutches,is-a
334,hmdb51,7,dive,kinetics700,508,scuba_diving,is-a
335,hmdb51,34,shoot_ball,kinetics700,380,playing_beer_pong,is-a
336,hmdb51,34,shoot_ball,kinetics700,381,playing_billiards,is-a
337,hmdb51,34,shoot_ball,kinetics700,416,playing_paintball,is-a
338,hmdb51,34,shoot_ball,kinetics700,420,playing_pinball,is-a
339,hmdb51,17,hit,kinetics700,245,hitting_baseball,is-a
340,hmdb51,47,throw,kinetics700,76,card_throwing,is-a
341,hmdb51,47,throw,kinetics700,622,throwing_knife,is-a
342,hmdb51,47,throw,kinetics700,623,throwing_snowballs,is-a
343,hmdb51,47,throw,kinetics700,625,throwing_water_balloon,is-a
344,kinetics700,513,shaking_hands,hmdb51,33,shake_hands,equal
345,hmdb51,7,dive,kinetics700,239,helmet_diving,is-a
346,stair_actions,12,making_up,ucf101,0,ApplyEyeMakeup,is-a
347,stair_actions,12,making_up,ucf101,1,ApplyLipstick,is-a
348,ucf101,3,BabyCrawling,stair_actions,85,baby_crawling,equal
349,stair_actions,81,walking,ucf101,5,BandMarching,is-a
350,stair_actions,35,throwing,ucf101,6,BaseballPitch,is-a
351,stair_actions,86,exercising,ucf101,6,BaseballPitch,is-a
352,stair_actions,86,exercising,ucf101,9,BenchPress,is-a
353,stair_actions,10,setting_hair,ucf101,12,BlowDryHair,is-a
354,ucf101,12,BlowDryHair,stair_actions,11,drying_hair_with_blower,equal
355,ucf101,13,BlowingCandles,stair_actions,33,blowing_flute,similar
356,stair_actions,86,exercising,ucf101,14,BodyWeightSquats,is-a
357,stair_actions,86,exercising,ucf101,16,BoxingPunchingBag,is-a
358,stair_actions,86,exercising,ucf101,17,BoxingSpeedBag,is-a
359,ucf101,19,BrushingTeeth,stair_actions,15,brushing_teeth,equal
360,stair_actions,86,exercising,ucf101,20,CleanAndJerk,is-a
361,ucf101,24,CuttingInKitchen,stair_actions,8,cutting_food,equal
362,stair_actions,9,cooking,ucf101,24,CuttingInKitchen,is-a
363,stair_actions,86,exercising,ucf101,29,FloorGymnastics,is-a
364,stair_actions,10,setting_hair,ucf101,33,Haircut,is-a
365,stair_actions,86,exercising,ucf101,36,HandstandPushups,is-a
366,stair_actions,81,walking,ucf101,37,HandstandWalking,is-a
367,stair_actions,86,exercising,ucf101,37,HandstandWalking,is-a
368,stair_actions,76,giving_massage,ucf101,38,HeadMassage,is-a
369,ucf101,39,HighJump,stair_actions,83,jumping_on_sofa_or_bed,similar
370,stair_actions,86,exercising,ucf101,42,HulaHoop,is-a
371,ucf101,49,Knitting,stair_actions,39,knitting_or_stitching,equal
372,stair_actions,86,exercising,ucf101,51,Lunges,is-a
373,stair_actions,9,cooking,ucf101,53,Mixing,is-a
374,stair_actions,48,housecleaning,ucf101,54,MoppingFloor,is-a
375,stair_actions,9,cooking,ucf101,57,PizzaTossing,is-a
376,ucf101,58,PlayingCello,stair_actions,31,playing_guitar,similar
377,ucf101,58,PlayingCello,stair_actions,32,playing_piano,similar
378,ucf101,58,PlayingCello,stair_actions,33,blowing_flute,similar
379,ucf101,59,PlayingDaf,stair_actions,31,playing_guitar,similar
380,ucf101,59,PlayingDaf,stair_actions,32,playing_piano,similar
381,ucf101,59,PlayingDaf,stair_actions,33,blowing_flute,similar
382,ucf101,60,PlayingDhol,stair_actions,31,playing_guitar,similar
383,ucf101,60,PlayingDhol,stair_actions,32,playing_piano,similar
384,ucf101,60,PlayingDhol,stair_actions,33,blowing_flute,similar
385,ucf101,61,PlayingFlute,stair_actions,31,playing_guitar,similar
386,ucf101,61,PlayingFlute,stair_actions,32,playing_piano,similar
387,ucf101,61,PlayingFlute,stair_actions,33,blowing_flute,equal
388,ucf101,62,PlayingGuitar,stair_actions,31,playing_guitar,equal
389,ucf101,62,PlayingGuitar,stair_actions,32,playing_piano,similar
390,ucf101,62,PlayingGuitar,stair_actions,33,blowing_flute,similar
391,ucf101,63,PlayingPiano,stair_actions,31,playing_guitar,similar
392,ucf101,63,PlayingPiano,stair_actions,32,playing_piano,equal
393,ucf101,63,PlayingPiano,stair_actions,33,blowing_flute,similar
394,ucf101,64,PlayingSitar,stair_actions,31,playing_guitar,similar
395,ucf101,64,PlayingSitar,stair_actions,32,playing_piano,similar
396,ucf101,64,PlayingSitar,stair_actions,33,blowing_flute,similar
397,ucf101,65,PlayingTabla,stair_actions,31,playing_guitar,similar
398,ucf101,65,PlayingTabla,stair_actions,32,playing_piano,similar
399,ucf101,65,PlayingTabla,stair_actions,33,blowing_flute,similar
400,ucf101,66,PlayingViolin,stair_actions,31,playing_guitar,similar
401,ucf101,66,PlayingViolin,stair_actions,32,playing_piano,similar
402,ucf101,66,PlayingViolin,stair_actions,33,blowing_flute,similar
403,stair_actions,86,exercising,ucf101,69,PullUps,is-a
404,stair_actions,86,exercising,ucf101,71,PushUps,is-a
405,stair_actions,86,exercising,ucf101,76,SalsaSpin,is-a
406,stair_actions,87,dancing,ucf101,76,SalsaSpin,is-a
407,stair_actions,17,shaving,ucf101,77,ShavingBeard,is-a
408,ucf101,93,TrampolineJumping,stair_actions,83,jumping_on_sofa_or_bed,similar
409,stair_actions,86,exercising,ucf101,93,TrampolineJumping,is-a
410,ucf101,94,Typing,stair_actions,21,using_computer,similar
411,ucf101,97,WalkingWithDog,stair_actions,80,walking_with_stick,similar
412,stair_actions,81,walking,ucf101,97,WalkingWithDog,is-a
413,stair_actions,86,exercising,ucf101,98,WallPushups,is-a
414,stair_actions,55,writing,ucf101,99,WritingOnBoard,is-a
415,stair_actions,19,playing_with_toy,ucf101,100,YoYo,is-a
416,kinetics700,58,brush_painting,stair_actions,13,manicuring,similar
417,kinetics700,58,brush_painting,stair_actions,50,drawing_picture,similar
418,stair_actions,39,knitting_or_stitching,kinetics700,132,crocheting,is-a
419,kinetics700,167,drawing,stair_actions,50,drawing_picture,equal
420,stair_actions,39,knitting_or_stitching,kinetics700,190,embroidering,is-a
